text,type
ok gunna stop cause gunna end page long post mean put start post startingto add meny quote almost funny almost go oh wait pile quote like quote quote wounder something mess somewhere darner say start topic sentence hahaha remind elementary school age saw people start fall love decide time fall love make list desirable trait look smartness humour niceness etc select people like score trait scale sadly work fall love best one th never lose faith rational partner selection think reason go field statistic want find method fail click expand well first part quote know happend second part yah say method fail get ta say interesting idea van say rarely angry feeler type friend always ask angry make angry get really determine show would right wow see alot carttons game stuff might somethinglike ask rediculously alot dear sigmund say would infinitely rich dime every time lament make sense lol true know thinker develop strategy everything man would love feeler also like stratagy would fun stratagy everything cman say analyze classify emotional state better understand almost robot cept robot emotion begin cereszal say someone talk think clever response say time say come differently expect xd hope thing lmao think cause exayevie say know thinker rank four season weather activity holiday overall feel convert rank point system weight category use first three step assign season likeablility score mathematically determine one favorite wow well keep everything say exayevie say get trouble often accuse parent senseless anything actually ha hahahahaha would thsat pure freakin funof real well usually say quote mom really freakin smart honeytrap say sometimes hear someone call name lose thought look forward trip want think long ride pick window seat say feeler infps sometimes call dreamer one place describe vary thin exstreamly easly transversable line dream reality alot really mojo jojo say finally feel kind emotion blame hypoglycemia allergic reaction wow cartoon thing right uber smart guy walkin road strange feeling explain finally blaimes solar flare something call emotion idiot thewaffle say know respond spontaneous display affection hm girl know week enjoy talk different thing like get stuff chest mybe bounce idea someone listen go hour one day come right tell love instant swallow face fell floor still statue slightest clue think ask love back know say cryd week actually happen together sedna say suddenly realize speak word three day go longer day lot time calmgreen say feel depress reason conclude enough breakfast hm mean simply cause love eat xd theclog say way know emotion feel memorise physical reaction one invoke eg anxiety twist stomach apply information various situation fail completely lose super duper diddily uber omega catroon video game nerd dork geek referance example nerd see pretty girl get weird feeling wounders wtf go go shaky knee swetty palm qweasy stomick could call love stand alone say think well nice day anyway funeral think nice day funeral mojo jojo say first actual research find mbti type necessarily genetic statistic may well end squeeze extra esfj actually think want kid reason simply mean full darner say cry make wonder physic behind making tear btw still interested mainly question tear know come understand person sad long time eye begin dry need water sometimes happen something make cry instant case origin tear mistery want scientific explination probably involve chemical release brain respons emotional reaction something ceembee say feel need respond every argument rational conclusion may reach crazy reason one interested want add two wan na see go end add stir trouble anything add argue ment ever comment say smart end add get conclusion want freakin shut heck already seriously start tick maybe good handelling pressure actually think end add quote post like point sorry click expand,T
respond huge long post say holy cow lot quote really need,T
know thinker say feeler emotional affectionate,T
think suppose quote reason geuss take one think cirtain point start quote one like rather one really already comment without realize,T
eylrid say use statement carry debate seem kind paradoxical seem logical get rid someone kind dedication job start understand sometimes know go help,T
nameno say know thinking regularly make point think profound thing post others think cause thought depth turn anyone wan na ride merry go round laugh talk language course,T
lionness roar say start understand sometimes know go help explanation please say personally know go help say thinker know go help usually untrue post quote,T
relationship decide finally make decision make pro con list relationship end con outweigh pro stay pro outweigh con decide next relationship lucky instead rely one time list bias may forget detail chart emotion daily basis categorise either positive emotion negative emotion think much see general trend emotion time thus make accurate evaluation forecast relationship weird,T
highlandstorm say relationship decide finally make decision make pro con list relationship end con outweigh pro stay pro outweigh con decide next relationship lucky instead rely one time list bias may forget detail chart emotion daily basis categorise either positive emotion negative emotion think much see general trend emotion time thus make accurate evaluation forecast relationship weird click expand like eenie meenie minie moe spell error kinda actually smart person would write good thing occur day especially relationship long time review need year time solid wonderful memory would make great anniversary gift help solidify far come give indication want go remember positive let go negative think,T
highlandstorm say relationship decide finally make decision make pro con list relationship end con outweigh pro stay pro outweigh con decide next relationship lucky instead rely one time list bias may forget detail chart emotion daily basis categorise either positive emotion negative emotion think much see general trend emotion time thus make accurate evaluation forecast relationship weird click expand pretty good idea could something repetitive everyday thats flaw wouldnt remember everyday,T
pearose say like eenie meenie minie moe spell error kinda actually smart person would write good thing occur day especially relationship long time review need year time solid wonderful memory would make great anniversary gift help solidify far come give indication want go remember positive let go negative think click expand ya mariage positive bias chronicle good thing would help stay together marry yet oblige stay person think neutrality better rockthered say pretty good idea could something repetitive everyday thats flaw wouldnt remember everyday yeah kinda boring perhaps phone app prompt record feeling random time yeah sure would take xd,T
highlandstorm say ya mariage positive bias chronicle good thing would help stay together marry yet oblige stay person think neutrality better yeah kinda boring perhaps phone app prompt record feeling random time yeah sure would take xd click expand genius genius post idea chronicle chart forecast relationship may work gut instinct know interest within second minute point course work stuff feeling feeling grow time bad day later relationship would benefit open book create look word describe someone loving manner upset get little crazy thought process would calm immediately remember experience,T
highlandstorm say relationship decide finally make decision make pro con list relationship end con outweigh pro stay pro outweigh con decide next relationship lucky instead rely one time list bias may forget detail chart emotion daily basis categorise either positive emotion negative emotion think much see general trend emotion time thus make accurate evaluation forecast relationship weird click expand mouseover text use science show right use science become right xkcd science valentine,T
start question logic question,T
eylrid say mouseover text use science show right use science become right xkcd science valentine think xkcd brilliant btw volume want brag li l,T
know thinker decide make sure check emotion every hour reason occur emotion usually either nothing agitate amused nothing occurrence agitate amuse,T
highlandstorm say think xkcd brilliant btw volume want brag li l yes yes,T
pearose say post idea chronicle chart forecast relationship may work gut instinct know interest within second minute point course work stuff feeling feeling grow time bad day later relationship would benefit open book create look word describe someone loving manner upset get little crazy thought process would calm immediately remember experience click expand keep private diary instead write frustrate get feeling helpful though indecisive whether reln make progress look find frustration meant nothing improve sadly reln end,T
get annoy feeler proclaim everyone hide behind mask openly share feeling liar roll eye disdain,T
know thinker identify stupid people,T
thank post solely base content even personally like person thank,T
highlandstorm say think xkcd brilliant course xkcd brilliant nothing f dichotomy dementia absentia say thank post solely base content even personally like person thank also nothing v f even look say something thank thank post useful author make think anyone otherwise think non stalker actually sqr say get annoy feeler proclaim everyone hide behind mask openly share feeling liar roll eye disdain fe feel general fact thinker fe talk feeling much feeler fi,T
highlandstorm say perhaps phone app prompt record feeling random time one android actually download couple get annoy prompt uninstalled short period time,T
hmwith say course xkcd brilliant nothing f dichotomy glad think brilliant figure xkcd intellectualizes rationalize emotion much typical feeler taste hmwith say one android actually download couple get annoy prompt uninstalled short period time cool work,T
highlandstorm say glad think brilliant figure xkcd intellectualizes rationalize emotion much typical feeler taste fair enough certainly typical feeler way highlandstorm say cool work like organized diary emotion one scale place regard several different factor include happiness anxiety fatigue etc seem like interesting concept could keep track emotion long period time eventually compare certain hour day even create chart however p difficult time keep often hit ignore find uninstalling could find greater pattern would quite interesting though experience wide range emotion give amount time,T
napoleptic say seriously know intps get anything mean think think thing death come decision j thinking get something william james also famous intp type father pragmatism philosophy essentially get thing away useless kind think lead lack productivity think seem like theory endorsing activity mean equate fundamentally active role play act also know thinker told people emotion manifestation want deny reality replace specifically fact therein contain fancy whim behave certain way social context rely exclusively emotion human behind generic face would normally behave think common manifestation thinker slip habit say love dearest companion without necessarily feel emotion accusation probably spur kind logical response along line practical truly crossed side explore many possible argumentative stance order think depth validity accuracy different view order gauge capacity think mean defend logical illogical side argument embrace vortex emotion wasteland solipsistic apathy thinking true colour true enemy object exist solely linguistic subterfuge bearing substantial weight go whole second major second master second ph philosophy,T
ooidal say go whole second major second master second ph philosophy read first thought hot crazy,T
hmwith say fe feel general fact thinker fe talk feeling much feeler fi actually refer specific feeler state mean share show emotion oppose talk showing talk see come fe fi,T
know thinker shitty day take feel better hour think emotional support people,T
van say rarely angry feeler type friend always ask angry make angry get really determine show would right thinker way lot thinker get piss easily example estj,T
van say rarely angry muhicz say thinker way lot thinker get piss easily almost every person know serious anger management issue thinker,T
muhicz say thinker way lot thinker get piss easily example estj hmwith say almost every person know serious anger management issue thinker funny post make quite ago thing make angry quite lot past couple month really relate part post moment main point post ok people still like disturb feel peaceful assume angry sometimes sad annoy try show annoy think initially right claim thinker would stupid still number thanks post imply plenty thinker include estjs relate,T
hmwith say almost every person know serious anger management issue thinker truth always think anger management issue discover entp find perfectly normal lul,T
van say funny post make quite ago thing make angry quite lot past couple month really relate part post moment main point post ok people still like disturb feel peaceful assume angry sometimes sad annoy try show annoy think initially right claim thinker would stupid still number thanks post imply plenty thinker include estjs relate click expand think probably double bias side feeler post thinker friend get angry may assume respond way angry well thinker always good interpret emotion comfortable may angry without realise might relate recognise anger say absolute truth wish make anyone feel experience emotion undermine,T
response issue ethic regard capital punishment matter gon na die eventually,T
ionofaeons say feeler post thinker friend get angry may assume respond way angry hm think punch hole wall often break thick pool cue table miss shot slam table irately scream public one face red undebatably expression anger thinker well aware anger feel know issue deal emotion specifically,T
hmwith say hm think punch hole wall often break thick pool cue table miss shot slam table irately scream public one face red undebatably expression anger thinker well aware anger feel know issue deal emotion specifically definitely sure thinker anger issue like friend describe sure describe consequence think trait though indication volatile people think imply though get feeling make original post point thinker mean calm feel agrees point view happy still think misinterpretation side though sometimes feeler think thinker friend angry time thinker think har har angry fact pick go way basically,T
hmwith say almost every person know serious anger management issue thinker betreden op eigen risico op msn video,T
everyone else cry know,T
subject anger kid lose temper lot learn let thing roll back take lot lose temper look think big problem people know handle negative emotion healthy way express way know lash,T
feel awkward room full feeler also mood music playing,T
hmwith say course xkcd brilliant nothing f dichotomy think n,T
laugh oh find one whoop mirror never mind tongue madferit say know thinker identify stupid people,T
sound unappealing esfp sqr say feel awkward room full feeler also mood music playing,T
someone hurt instead run see okay like everyone else observe situation remotely safe distace start cry cover face embarrassment,T
walk tourist say laughing oh find one whoop mirror never mind tongue laughing,T
know thinker friend scare feeler room accidentally talk physic two hour straight,T
sound like good cure insomnia u f type hziegel say know thinker friend scare feeler room accidentally talk physic two hour straight,T
hziegel say know thinker friend scare feeler room accidentally talk physic two hour straight love people talk physic two hour straight blushed,T
know thinker use logic decide get go bathroom lazy v ever increase need go bathroom know thinker half awake dream consist math thing generally use math,T
torai say think n quite possible,T
someone tell examine feeling suddenly remember,T
identify overwhelming amount thinking type,T
walk tourist say sound like good cure insomnia u f type eh think physic would put n sleep theory,T
theory present dull monotone hmwith say eh think physic would put n sleep theory,T
try tell friend depressed grin cause think stupid decide go phsyciatrist cause want get way depression experiment currently lol,T
susurration say identify overwhelming amount thinking type find astonish sometimes amount people identify feeler gushy stuff like sistah bore,T
walk tourist say theory present dull monotone usually,T
laugh feeling type person make mountain molehill get mad laugh make laugh even harder,T
shadowofambivalence say laugh feeling type person make mountain molehill get mad laugh make laugh even harder antisocial personality disorder wikipedia free encyclopedia,T
somthing silly like milk spill laugh somthing serious like thier dog die dont laugh,T
shadowofambivalence say somthing silly like milk spill laugh somthing serious like thier dog die dont laugh inside edit well humorous happen sometimes sad usually care someone dog die,T
sqr say someone tell examine feeling suddenly remember read intp man laugh say hahaha,T
let set music could present opera would make much fun hear hmwith say usually,T
help laugh one friend trip fall face maybe say something,T
must like slapstick comedy hziegel say help laugh one friend trip fall face maybe say something,T
hziegel say help laugh one friend trip fall face maybe say something think everyone pretty funny get laugh fall everyone,T
susurration say identify overwhelming amount thinking type maybe connection relate post,T
