,text,type
10,ok gunna stop cause gunna end page long post mean put start post startingto add meny quote almost funny almost go oh wait pile quote like quote quote wounder something mess somewhere darner say start topic sentence hahaha remind elementary school age saw people start fall love decide time fall love make list desirable trait look smartness humour niceness etc select people like score trait scale sadly work fall love best one th never lose faith rational partner selection think reason go field statistic want find method fail click expand well first part quote know happend second part yah say method fail get ta say interesting idea van say rarely angry feeler type friend always ask angry make angry get really determine show would right wow see alot carttons game stuff might somethinglike ask rediculously alot dear sigmund say would infinitely rich dime every time lament make sense lol true know thinker develop strategy everything man would love feeler also like stratagy would fun stratagy everything cman say analyze classify emotional state better understand almost robot cept robot emotion begin cereszal say someone talk think clever response say time say come differently expect xd hope thing lmao think cause exayevie say know thinker rank four season weather activity holiday overall feel convert rank point system weight category use first three step assign season likeablility score mathematically determine one favorite wow well keep everything say exayevie say get trouble often accuse parent senseless anything actually ha hahahahaha would thsat pure freakin funof real well usually say quote mom really freakin smart honeytrap say sometimes hear someone call name lose thought look forward trip want think long ride pick window seat say feeler infps sometimes call dreamer one place describe vary thin exstreamly easly transversable line dream reality alot really mojo jojo say finally feel kind emotion blame hypoglycemia allergic reaction wow cartoon thing right uber smart guy walkin road strange feeling explain finally blaimes solar flare something call emotion idiot thewaffle say know respond spontaneous display affection hm girl know week enjoy talk different thing like get stuff chest mybe bounce idea someone listen go hour one day come right tell love instant swallow face fell floor still statue slightest clue think ask love back know say cryd week actually happen together sedna say suddenly realize speak word three day go longer day lot time calmgreen say feel depress reason conclude enough breakfast hm mean simply cause love eat xd theclog say way know emotion feel memorise physical reaction one invoke eg anxiety twist stomach apply information various situation fail completely lose super duper diddily uber omega catroon video game nerd dork geek referance example nerd see pretty girl get weird feeling wounders wtf go go shaky knee swetty palm qweasy stomick could call love stand alone say think well nice day anyway funeral think nice day funeral mojo jojo say first actual research find mbti type necessarily genetic statistic may well end squeeze extra esfj actually think want kid reason simply mean full darner say cry make wonder physic behind making tear btw still interested mainly question tear know come understand person sad long time eye begin dry need water sometimes happen something make cry instant case origin tear mistery want scientific explination probably involve chemical release brain respons emotional reaction something ceembee say feel need respond every argument rational conclusion may reach crazy reason one interested want add two wan na see go end add stir trouble anything add argue ment ever comment say smart end add get conclusion want freakin shut heck already seriously start tick maybe good handelling pressure actually think end add quote post like point sorry click expand,T
11,rarely angry feeler type friend always ask angry make angry get really determine show would right,T
12,thinker way lot thinker get piss easily example estj,T
13,would infinitely rich dime every time lament make sense lol true know thinker develop strategy everything,T
14,wow know well,T
15,analyze classify emotional state better understand,T
16,relate much especially get role literally notebook fill comparison emotional state anecdotal definition portray lol,T
17,certain people confuse thing logical manner realize people question feel type,T
18,tash say certain people confuse thing logical manner realize people question feel type,T
19,someone talk think clever response say time say come differently expect xd hope thing lmao,T
20,know thinker rank four season weather activity holiday overall feel convert rank point system weight category use first three step assign season likeablility score mathematically determine one favorite,T
21,lmao sure tj,T
22,get trouble often accuse parent senseless anything actually,T
23,rt man spend whole childhood like confuse something seemingly good reason felt way ugh,T
24,sometimes hear someone call name lose thought look forward trip want think long ride pick window seat,T
25,hehe first one always hear people call name ignore think side totally love window seat though,T
26,finally feel kind emotion blame hypoglycemia allergic reaction,T
27,know respond spontaneous display affection,T
28,suddenly realize speak word three day,T
29,people keep say care actually show way expect personal experience,T
30,difficult accept may thing good logical explanation,T
31,true logical explanation everything everything dx well whether consider good hard judge upon,T
32,feel depress reason conclude enough breakfast,T
33,crazy true fact morning kind blah automatically figure consume omega fat nearly week eat flaxseed,T
34,way know emotion feel memorise physical reaction one invoke eg anxiety twist stomach apply information various situation fail completely lose,T
35,think well nice day anyway funeral,T
36,sure want kid think logical reason,T
37,sure want kid think world need rational thinker,T
38,cry make wonder physic behind making tear btw still interested mainly question tear know come understand person sad long time eye begin dry need water sometimes happen something make cry instant case origin tear mistery,T
39,remember read subject long time ago think chemical something tear release make feel better revisit memory write make much sense sorry certain research entropie say know thinker joke start offend people xd video still get people find funny mean know emotional side separate people sense humor,T
40,want know logic behind someone like dislike someone something,T
41,apologize someone explain like dislike something reason illogical realize actually care reason,T
42,put room ask think way stop entire world collapse week coolly calmly collectedly put room cry year old child lose,T
43,first need cry child control necessary want hope develop anti cry method experimentation,T
44,honeytrap say sometimes hear someone call name lose thought look forward trip want think long ride pick window seat hehe first one always hear people call name ignore think side totally love window seat though,T
45,way know emotion feel memorise physical reaction one invoke eg anxiety twist stomach apply information various situation fail completely lose,T
46,calmgreen say feel depress reason conclude enough breakfast crazy true fact morning kind blah automatically figure consume omega fat nearly week eat flaxseed,T
47,think well nice day anyway funeral,T
48,sure want kid think logical reason,T
49,napoleptic say sure want kid think logical reason sure want kid think world need rational thinker,T
50,ceembee say sure want kid think world need rational thinker first actual research find mbti type necessarily genetic statistic may well end squeeze extra esfj,T
51,cry make wonder physic behind making tear btw still interested mainly question tear know come understand person sad long time eye begin dry need water sometimes happen something make cry instant case origin tear mistery,T
52,god say first actual research find mbti type necessarily genetic statistic may well end squeeze extra esfj feel need respond every argument rational conclusion may reach crazy accept mbti type may necessarily genetic influence parent surround child intellectual opportunity allow encourage develop ti te even serve dominant function,T
53,ceembee say feel need respond every argument rational conclusion may reach crazy accept mbti type may necessarily genetic influence parent surround child intellectual opportunity allow encourage develop ti te even serve dominant function click expand also realize excess parentless kid go waste foster care system also plant ti te preexisting kid adopt p,T
54,want know logic behind someone like dislike someone something,T
55,calmgreen say feel depress reason conclude enough breakfast great mood earlier start sneeze make perfect sense find f insensitive bad guy obviously nothing wrong oh shit something really good lose thought dry,T
56,put room ask think way stop entire world collapse week coolly calmly collectedly put room cry year old child lose,T
57,dementia absentia say want know logic behind someone like dislike someone something apologize someone explain like dislike something reason illogical realize actually care reason,T
58,angry person issue problem person think angry,T
59,napoleptic say apologize someone explain like dislike something reason illogical realize actually care reason bother like dislike something without logical reason,T
60,thinker respond feel question youtube big bang theory penny sheldon talk,T
61,someone ask feel respond let get back think,T
62,dementia absentia say want know logic behind someone like dislike someone something damn ninja act mediator bug two people mad illogical reason get mistake feeler already work easier therefore logical diplomatic get yell unstably emotional people play devil advocate simply like get people think rationally belief,T
63,feeling lack subtle nuance strongly f type good feeling neutral feeling bad feeling,T
64,ionofaeons say damn ninja act mediator bug two people mad illogical reason get mistake feeler already work easier therefore logical diplomatic get yell unstably emotional people play devil advocate simply like get people think rationally belief click expand think feeler easier smile nod like clockwork get back alternatively respond bluntly spend hour engaging pointless scream match risk psycho break stuff sully reputation screw long run,T
65,ask reflect emotion sentence begin think think sad think nervous sugercoat truth others tell way choose stranger close friend argument stranger right,T
66,go logical option making decision even pain emotionally example know bos select people lay chose want quit either give circumstance make logical sense,T
67,dementia absentia say go logical option making decision even pain emotionally example know bos select people lay chose want quit either give circumstance make logical sense never let say incapable altruistic,T
68,dementia absentia say go logical option making decision even pain emotionally example know bos select people lay chose want quit either give circumstance make logical sense ft ceo logical thing would stay logical company logical bank account oh yeah unless company impeding danger instance company risk sue bankrupt etc gtfo,T
69,god say think feeler easier smile nod like clockwork get back alternatively respond bluntly spend hour engaging pointless scream match risk psycho break stuff sully reputation screw long run exactly see logical need convince stubborn people anything since endless go argument painful hardly sensible enjoy scream try avoid people opinion seem thinker find douche bag fun wrong douche bag enjoy douche bag get rise piss people think operate inferior feel rather think tbh,T
70,min thought coma,T
71,know thinker see table still decide eat,T
72,feeler want eat,T
73,would thinker,T
74,darner say feeler want eat feel thing like rub know logically state thinker eat yes eat nespresso else,T
75,think think think think manner think determine thinking require modification like internal intellectual conversation laugh,T
76,musique say think think think think manner think determine thinking require modification like internal intellectual conversation laugh someone hey dude fuck talk yes im intelligent discussion,T
77,people always ask never happy reality perfectly content,T
78,read post thread able figure poster real thinker poster fake thinker mistype,T
79,wickedqueen say read post thread able figure poster real thinker poster fake thinker mistype look,T
80,absent air say feel thing like rub know logically state thinker eat yes eat nespresso else know absent air see already eat,T
81,brain,T
82,dementia absentia say difficult accept may thing good logical explanation true logical explanation everything everything dx well whether consider good hard judge upon,T
83,realize beatles wrong love need,T
84,put finger quite whats wrong enfp friend explain angry someone disrespect,T
85,darner say feeler want eat feel sorry cooky hurt eat munch cookie right,T
86,wedding funeral cry happy sad organizer could get better deal,T
87,devoid emotion something sad happens,T
88,discover say feel like think make sense say think like feel interest,T
89,darner say discover say feel like think make sense say think like feel interest pedant sure sense think like feel would loosely end mean capacity thinking unlike capacity feel pedant wink annoy,T
90,uwace say devoid emotion something sad happen think sociopath laughing,T
91,musique say think think think think manner think determine thinking require modification like internal intellectual conversation laugh disagree thought process think may n something else dom fe enfj analyze thought process least day usually multiple time day lol well thought process everyone around think may part reason enfj scary intuition almost read mind muah ha ha seriously though heart adorable group always know thanks logic,T
92,well bit younger use use bar graph head represent much need go bathroom,T
93,linnifae say think sociopath laugh totally impossible occasionally guess peaceful defence cop mechanism willing admit,T
94,someone ask want eat insert food name reply hold let take couple second think would taste moment alright yes would like,T
95,emotion bottle ignore suddenly explode instead talk someone go outside baseball bat hit tree dont feel angry anymore usually take min haha back rational rid emotion,T
96,come good reason bash post illogical,T
97,f ask another friend relationship good answer stop f brant without feeling idea problem something make feel bad stop,T
98,darner say f ask another friend relationship good answer stop f brant without feeling idea problem something make feel bad stop f friend run away tear,T
99,dear sigmund say f friend run away tear worse f friend listen advice run away problem instead face deal properly,T
100,knowyourenemy say worse f friend listen advice run away problem instead face deal properly eventually lead f friend tear,T
101,darksoul say eventually lead f friend tear lead f gaining strength confidence conflict control knowledge problem ever arise future cry powerful way process emotion run away create inner conflict witch surface later much violent way run problem afraid negative emotion sorry last topic post thread,T
102,haha absent air say someone hey dude fuck talk yes im intelligent discussion love happen lot,T
103,even work muscle must math short story one day think would good idea fill l bottle gallon water water density equal one therefore ml water g bottle alone would weight around kg bottle come completely fill around pound friend tell weight lift light counter say make set around rep time end lift basically weight use kg set rep use kg rep kg set kg set course lazy work drop couple week afterwards,T
104,shut deep thinking turn music dance dance dance artsy know know,T
105,jade velly say shut deep thinking turn music dance dance dance artsy know know previous attempt dance end flail limb misplaced step pretty sad artsy creative yes artsy much give though,T
106,thinker love thinker one best friend thinker use hate side seem suppress emotion would drive crazy past year learn appreciate much provide support stability overcome feeling moment life last year thing bad know deal learn find balance envious thinker may tease call touchy feely still love guy,T
107,think tell think much lot way challenge comer come top ten list think could poll topic busy think lot others organize main reason come post comment subject say write poem like idea conscious seem always mind often elude know seek seem seek someone else could exist without awareness ask idea conscious come realization want control thought sit around think quit think much like say control mind figure quit think whether awake asleep control idea come go think poem lend idea also realize finally part gift collection thought signature explanation zen buddhist reason try fall live world tell possibly genius normal feasible insane try keep balance,T
108,difficult plan anticipate illogical human nature,T
109,hilarious love,T
110,know logical explanation find yet give time,T
111,cereszal say angry person issue problem person think angry hear statement like think frictious moment people really care statement preach choir go mind,T
112,darner say bother like dislike something without logical reason bout like dislike something know still bother turn bother think quit think thank god distraction,T
113,constructive criticism could make one large post rather several smaller post laugh,T
114,nameno say bout like dislike something know still bother turn bother think quit think thank god distraction bout start think reply post worried someone might think try top last guy think way prove case,T
115,would think thinker entertain thought simply reply post wonder people think hope somehow dredge depth soul compelling thought need like food drug laugh crazy happy,T
116,thing world truly confuses feeling type manage function,T
117,feel distress whirlwind emotion whatever cause first place,T
118,start feel irritable want rage everyone check calendar realize pm ing bam rage go somehow think applies male however,T
119,assess f type show emotion use successfully replicate number situation use think long last begin understand emotion girlfriend ask feeling think oh everything go piece last man leave stand cool head proud,T
120,nameno say would think thinker entertain thought simply reply post wonder people think hope somehow dredge depth soul compelling thought need like food drug laugh crazy happy click expand think might manic depressive doctor,T
121,zdorobot say start feel irritable want rage everyone check calendar realize pm ing bam rage go somehow think applies male however know thinker emotion lessen dramatically identify source eight letter strike fear heart every man woman child intj w pm crazy apparently fairly good job hide fact thisclose explode rage work bos three year finally convince pm actually exist since never clearly head angry,T
122,wish people would give away computer like error message everytime something wrong bad read signal,T
123,darner say wish people would give away computer like error message everytime something wrong bad read signal work accidentally stomp people feeling wish neon sign would appear someone head word say hurt want hurt idea win,T
124,learn deal emotion people understand logic behind existence able deduce cause seriously people claim emotion illogical always reason behind might seem utterly bizarre irrational place unexplained explosive anger frequently defense mechanism even know intuitively someone cry always something cause cry,T
125,know thinker someone ask marry respond think note ask question hopefully response hahaha,T
126,chance say thinker love thinker one best friend thinker use hate side seem suppress emotion would drive crazy past year learn appreciate much provide support stability overcome feeling moment life last year thing bad know deal learn find balance envious thinker may tease call touchy feely still love guy click expand love u ok please hug,T
127,love fact information love people tongue,T
128,someone hug realize rational action speculate hidden motive might,T
129,lokkye say someone hug realize rational action speculate hidden motive might fuck hate get random hug,T
130,math teacher refers mr spock often real name,T
131,ginnyisdacoolest say math teacher refers mr spock often real name fact female make statement twice awesome laughing,T
132,create list one,T
133,people come insane emotional rant complain different insane emotional rant others think irrational action explain difference fault view everything subjectively,T
134,dementia absentia say create list one make really big decision love,T
135,actually make list like already year ago sure pro con method trustworthy,T
136,dementia absentia say create list one instinct always better reason since tongue,T
137,father get hug kid ask much money want laugh,T
138,ionofaeons say learn deal emotion people understand logic behind existence able deduce cause seriously people claim emotion illogical always reason behind might seem utterly bizarre irrational place unexplained explosive anger frequently defense mechanism even know intuitively someone cry always something cause cry click expand thanks share one best thinker posting read uncle nt spend whole life battle emotion critical towards others even end life day pas ask family together something never healthy emotional still make sad reflect talk life opinion wasted one ready die realize never live talk idea important life yet end life want family apposed give receive love want love feel love end day love important idea aware always love even lovable sorry get topic please forgive move thanks,T
139,feeler friend simultaneously love ask advice see fog emotion obfuscate view yet also hat logical feeling,T
140,dementia absentia say create list one afraid go ask quantitative proof third statement con list wink,T
141,perfectly normal conversation something suddenly pull might start cry thing know stare fixedly forget blink glassy eye oh shit come try immediately erase awkwardness awkwardly pat fuck collapse hug murmur happy sad memory,T
142,u hate idiot,T
143,god say also realize excess parentless kid go waste foster care system also plant ti te preexisting kid adopt p use statement carry debate dementia absentia say go logical option making decision even pain emotionally example know bos select people lay chose want quit either give circumstance make logical sense seem kind paradoxical seem logical get rid someone kind dedication job,T
144,eylrid say use statement carry debate use smartass lol nice irony signature btw,T
145,rockthered say make really big decision love bout organization front still help wonder something overlook decide maybe think feel right start cycle start try think way situation find begin maybe miss something go think way think type p twin gemini personality,T
146,lib say father get hug kid ask much money want laugh uncle use tell kid fifty dollar hug,T
147,muchaparadox say thanks share one best thinker posting read uncle nt spend whole life battle emotion critical towards others even end life day pas ask family together something never healthy emotional still make sad reflect talk life opinion wasted one ready die realize never live talk idea important life yet end life want family apposed give receive love want love feel love end day love important idea aware always love even lovable sorry get topic please forgive move thanks click expand idea life love needing together make either worth show power importance idea important love life three need read bottom part signature perhaps shed light people treat life great proverb personality like mine vengeance mine say lord even choose use human instrument write man shed man blood man shall man blood shed mean would consider possibility one take justice hand,T
148,nameno say bout organization front still help wonder something overlook decide maybe think feel right start cycle start try think way situation find begin maybe miss something go think way think type p twin gemini personality click expand seriously know intps get anything mean think think thing death come decision j,T
149,first response emotion sit think mean,T
150,nameno say bout organization front still help wonder something overlook decide maybe think feel right start cycle start try think way situation find begin maybe miss something go think way think type p twin gemini personality click expand istp actually overthinking really help feel positive make right decision,T
151,napoleptic say seriously know intps get anything mean think think thing death come decision j get stuff get got x make feel question test think thought pointless question,T
152,napoleptic say seriously know intps get anything mean think think thing death come decision j others say pretty much laugh,T
153,valentine receive trigger kind positive emotional reaction one write hexadecimal code true story refer happy positive emotional reaction crazy,T
154,happen time especially lately since one friend constant love hate relationship dude never meet really care much,T
155,know thinking regularly make point think profound thing post others think cause thought depth turn anyone wan na ride merry go round laugh,T
156,hear joke someone something rather irrational want know person thing laugh joke make sense stop question laugh instead needless say friend hate,T
157,themartyparade say hear joke someone something rather irrational want know person thing laugh joke make sense stop question laugh instead needless say friend hate hahaha happen time,T
158,find think stop thinking upon realization possible unless dead choose go back think mode instead default think mode simply aware surroundings react external stimulus think maybe put enough think,T
159,illogical argument someone cause intense frustration much mental anguish happy,T
160,flamingfishman say illogical argument someone cause intense frustration much mental anguish happy,T
161,understand everybody get mad suggest rational solution emotional,T
162,get confuse someone say feel like way sure obvious response go feeling whim life would mess since emotion change fly,T
163,would rather spend sunday afternoon museum another thinker front boob tube get irritate person ask respond know know catch say oh nevermind,T
164,speak feeler find safest ground say exact opposite want say,T
165,know thinker theory fit sign,T
166,play game spot anomalous park significant,T
167,control situation knowledge surroundings,T
168,logic idealism,T
169,ok gunna stop cause gunna end page long post mean put start post startingto add meny quote almost funny almost go oh wait pile quote like quote quote wounder something mess somewhere darner say start topic sentence hahaha remind elementary school age saw people start fall love decide time fall love make list desirable trait look smartness humour niceness etc select people like score trait scale sadly work fall love best one th never lose faith rational partner selection think reason go field statistic want find method fail click expand well first part quote know happend second part yah say method fail get ta say interesting idea van say rarely angry feeler type friend always ask angry make angry get really determine show would right wow see alot carttons game stuff might somethinglike ask rediculously alot dear sigmund say would infinitely rich dime every time lament make sense lol true know thinker develop strategy everything man would love feeler also like stratagy would fun stratagy everything cman say analyze classify emotional state better understand almost robot cept robot emotion begin cereszal say someone talk think clever response say time say come differently expect xd hope thing lmao think cause exayevie say know thinker rank four season weather activity holiday overall feel convert rank point system weight category use first three step assign season likeablility score mathematically determine one favorite wow well keep everything say exayevie say get trouble often accuse parent senseless anything actually ha hahahahaha would thsat pure freakin funof real well usually say quote mom really freakin smart honeytrap say sometimes hear someone call name lose thought look forward trip want think long ride pick window seat say feeler infps sometimes call dreamer one place describe vary thin exstreamly easly transversable line dream reality alot really mojo jojo say finally feel kind emotion blame hypoglycemia allergic reaction wow cartoon thing right uber smart guy walkin road strange feeling explain finally blaimes solar flare something call emotion idiot thewaffle say know respond spontaneous display affection hm girl know week enjoy talk different thing like get stuff chest mybe bounce idea someone listen go hour one day come right tell love instant swallow face fell floor still statue slightest clue think ask love back know say cryd week actually happen together sedna say suddenly realize speak word three day go longer day lot time calmgreen say feel depress reason conclude enough breakfast hm mean simply cause love eat xd theclog say way know emotion feel memorise physical reaction one invoke eg anxiety twist stomach apply information various situation fail completely lose super duper diddily uber omega catroon video game nerd dork geek referance example nerd see pretty girl get weird feeling wounders wtf go go shaky knee swetty palm qweasy stomick could call love stand alone say think well nice day anyway funeral think nice day funeral mojo jojo say first actual research find mbti type necessarily genetic statistic may well end squeeze extra esfj actually think want kid reason simply mean full darner say cry make wonder physic behind making tear btw still interested mainly question tear know come understand person sad long time eye begin dry need water sometimes happen something make cry instant case origin tear mistery want scientific explination probably involve chemical release brain respons emotional reaction something ceembee say feel need respond every argument rational conclusion may reach crazy reason one interested want add two wan na see go end add stir trouble anything add argue ment ever comment say smart end add get conclusion want freakin shut heck already seriously start tick maybe good handelling pressure actually think end add quote post like point sorry click expand,T
170,respond huge long post say holy cow lot quote really need,T
171,know thinker say feeler emotional affectionate,T
172,think suppose quote reason geuss take one think cirtain point start quote one like rather one really already comment without realize,T
173,eylrid say use statement carry debate seem kind paradoxical seem logical get rid someone kind dedication job start understand sometimes know go help,T
174,nameno say know thinking regularly make point think profound thing post others think cause thought depth turn anyone wan na ride merry go round laugh talk language course,T
175,lionness roar say start understand sometimes know go help explanation please say personally know go help say thinker know go help usually untrue post quote,T
176,relationship decide finally make decision make pro con list relationship end con outweigh pro stay pro outweigh con decide next relationship lucky instead rely one time list bias may forget detail chart emotion daily basis categorise either positive emotion negative emotion think much see general trend emotion time thus make accurate evaluation forecast relationship weird,T
177,highlandstorm say relationship decide finally make decision make pro con list relationship end con outweigh pro stay pro outweigh con decide next relationship lucky instead rely one time list bias may forget detail chart emotion daily basis categorise either positive emotion negative emotion think much see general trend emotion time thus make accurate evaluation forecast relationship weird click expand like eenie meenie minie moe spell error kinda actually smart person would write good thing occur day especially relationship long time review need year time solid wonderful memory would make great anniversary gift help solidify far come give indication want go remember positive let go negative think,T
178,highlandstorm say relationship decide finally make decision make pro con list relationship end con outweigh pro stay pro outweigh con decide next relationship lucky instead rely one time list bias may forget detail chart emotion daily basis categorise either positive emotion negative emotion think much see general trend emotion time thus make accurate evaluation forecast relationship weird click expand pretty good idea could something repetitive everyday thats flaw wouldnt remember everyday,T
179,pearose say like eenie meenie minie moe spell error kinda actually smart person would write good thing occur day especially relationship long time review need year time solid wonderful memory would make great anniversary gift help solidify far come give indication want go remember positive let go negative think click expand ya mariage positive bias chronicle good thing would help stay together marry yet oblige stay person think neutrality better rockthered say pretty good idea could something repetitive everyday thats flaw wouldnt remember everyday yeah kinda boring perhaps phone app prompt record feeling random time yeah sure would take xd,T
180,highlandstorm say ya mariage positive bias chronicle good thing would help stay together marry yet oblige stay person think neutrality better yeah kinda boring perhaps phone app prompt record feeling random time yeah sure would take xd click expand genius genius post idea chronicle chart forecast relationship may work gut instinct know interest within second minute point course work stuff feeling feeling grow time bad day later relationship would benefit open book create look word describe someone loving manner upset get little crazy thought process would calm immediately remember experience,T
181,highlandstorm say relationship decide finally make decision make pro con list relationship end con outweigh pro stay pro outweigh con decide next relationship lucky instead rely one time list bias may forget detail chart emotion daily basis categorise either positive emotion negative emotion think much see general trend emotion time thus make accurate evaluation forecast relationship weird click expand mouseover text use science show right use science become right xkcd science valentine,T
182,start question logic question,T
183,eylrid say mouseover text use science show right use science become right xkcd science valentine think xkcd brilliant btw volume want brag li l,T
184,know thinker decide make sure check emotion every hour reason occur emotion usually either nothing agitate amused nothing occurrence agitate amuse,T
185,highlandstorm say think xkcd brilliant btw volume want brag li l yes yes,T
186,pearose say post idea chronicle chart forecast relationship may work gut instinct know interest within second minute point course work stuff feeling feeling grow time bad day later relationship would benefit open book create look word describe someone loving manner upset get little crazy thought process would calm immediately remember experience click expand keep private diary instead write frustrate get feeling helpful though indecisive whether reln make progress look find frustration meant nothing improve sadly reln end,T
187,get annoy feeler proclaim everyone hide behind mask openly share feeling liar roll eye disdain,T
188,know thinker identify stupid people,T
189,thank post solely base content even personally like person thank,T
190,highlandstorm say think xkcd brilliant course xkcd brilliant nothing f dichotomy dementia absentia say thank post solely base content even personally like person thank also nothing v f even look say something thank thank post useful author make think anyone otherwise think non stalker actually sqr say get annoy feeler proclaim everyone hide behind mask openly share feeling liar roll eye disdain fe feel general fact thinker fe talk feeling much feeler fi,T
191,highlandstorm say perhaps phone app prompt record feeling random time one android actually download couple get annoy prompt uninstalled short period time,T
192,hmwith say course xkcd brilliant nothing f dichotomy glad think brilliant figure xkcd intellectualizes rationalize emotion much typical feeler taste hmwith say one android actually download couple get annoy prompt uninstalled short period time cool work,T
193,highlandstorm say glad think brilliant figure xkcd intellectualizes rationalize emotion much typical feeler taste fair enough certainly typical feeler way highlandstorm say cool work like organized diary emotion one scale place regard several different factor include happiness anxiety fatigue etc seem like interesting concept could keep track emotion long period time eventually compare certain hour day even create chart however p difficult time keep often hit ignore find uninstalling could find greater pattern would quite interesting though experience wide range emotion give amount time,T
194,napoleptic say seriously know intps get anything mean think think thing death come decision j thinking get something william james also famous intp type father pragmatism philosophy essentially get thing away useless kind think lead lack productivity think seem like theory endorsing activity mean equate fundamentally active role play act also know thinker told people emotion manifestation want deny reality replace specifically fact therein contain fancy whim behave certain way social context rely exclusively emotion human behind generic face would normally behave think common manifestation thinker slip habit say love dearest companion without necessarily feel emotion accusation probably spur kind logical response along line practical truly crossed side explore many possible argumentative stance order think depth validity accuracy different view order gauge capacity think mean defend logical illogical side argument embrace vortex emotion wasteland solipsistic apathy thinking true colour true enemy object exist solely linguistic subterfuge bearing substantial weight go whole second major second master second ph philosophy,T
195,ooidal say go whole second major second master second ph philosophy read first thought hot crazy,T
196,hmwith say fe feel general fact thinker fe talk feeling much feeler fi actually refer specific feeler state mean share show emotion oppose talk showing talk see come fe fi,T
197,know thinker shitty day take feel better hour think emotional support people,T
198,van say rarely angry feeler type friend always ask angry make angry get really determine show would right thinker way lot thinker get piss easily example estj,T
199,van say rarely angry muhicz say thinker way lot thinker get piss easily almost every person know serious anger management issue thinker,T
200,muhicz say thinker way lot thinker get piss easily example estj hmwith say almost every person know serious anger management issue thinker funny post make quite ago thing make angry quite lot past couple month really relate part post moment main point post ok people still like disturb feel peaceful assume angry sometimes sad annoy try show annoy think initially right claim thinker would stupid still number thanks post imply plenty thinker include estjs relate,T
201,hmwith say almost every person know serious anger management issue thinker truth always think anger management issue discover entp find perfectly normal lul,T
202,van say funny post make quite ago thing make angry quite lot past couple month really relate part post moment main point post ok people still like disturb feel peaceful assume angry sometimes sad annoy try show annoy think initially right claim thinker would stupid still number thanks post imply plenty thinker include estjs relate click expand think probably double bias side feeler post thinker friend get angry may assume respond way angry well thinker always good interpret emotion comfortable may angry without realise might relate recognise anger say absolute truth wish make anyone feel experience emotion undermine,T
203,response issue ethic regard capital punishment matter gon na die eventually,T
204,ionofaeons say feeler post thinker friend get angry may assume respond way angry hm think punch hole wall often break thick pool cue table miss shot slam table irately scream public one face red undebatably expression anger thinker well aware anger feel know issue deal emotion specifically,T
205,hmwith say hm think punch hole wall often break thick pool cue table miss shot slam table irately scream public one face red undebatably expression anger thinker well aware anger feel know issue deal emotion specifically definitely sure thinker anger issue like friend describe sure describe consequence think trait though indication volatile people think imply though get feeling make original post point thinker mean calm feel agrees point view happy still think misinterpretation side though sometimes feeler think thinker friend angry time thinker think har har angry fact pick go way basically,T
206,hmwith say almost every person know serious anger management issue thinker betreden op eigen risico op msn video,T
207,everyone else cry know,T
208,subject anger kid lose temper lot learn let thing roll back take lot lose temper look think big problem people know handle negative emotion healthy way express way know lash,T
209,feel awkward room full feeler also mood music playing,T
210,hmwith say course xkcd brilliant nothing f dichotomy think n,T
211,laugh oh find one whoop mirror never mind tongue madferit say know thinker identify stupid people,T
212,sound unappealing esfp sqr say feel awkward room full feeler also mood music playing,T
213,someone hurt instead run see okay like everyone else observe situation remotely safe distace start cry cover face embarrassment,T
214,walk tourist say laughing oh find one whoop mirror never mind tongue laughing,T
215,know thinker friend scare feeler room accidentally talk physic two hour straight,T
216,sound like good cure insomnia u f type hziegel say know thinker friend scare feeler room accidentally talk physic two hour straight,T
217,hziegel say know thinker friend scare feeler room accidentally talk physic two hour straight love people talk physic two hour straight blushed,T
218,know thinker use logic decide get go bathroom lazy v ever increase need go bathroom know thinker half awake dream consist math thing generally use math,T
219,torai say think n quite possible,T
220,someone tell examine feeling suddenly remember,T
221,identify overwhelming amount thinking type,T
222,walk tourist say sound like good cure insomnia u f type eh think physic would put n sleep theory,T
223,theory present dull monotone hmwith say eh think physic would put n sleep theory,T
224,try tell friend depressed grin cause think stupid decide go phsyciatrist cause want get way depression experiment currently lol,T
225,susurration say identify overwhelming amount thinking type find astonish sometimes amount people identify feeler gushy stuff like sistah bore,T
226,walk tourist say theory present dull monotone usually,T
227,laugh feeling type person make mountain molehill get mad laugh make laugh even harder,T
228,shadowofambivalence say laugh feeling type person make mountain molehill get mad laugh make laugh even harder antisocial personality disorder wikipedia free encyclopedia,T
